occ_code,observed_exposure
29-2091,0.0
29-2092,0.0
29-2099,0.0445
29-9021,0.3063
29-9091,0.0531
29-9092,0.0123
29-9093,0.0
29-9099,0.0
31-1131,0.0
31-1132,0.0
31-1133,0.0
31-2011,0.0
31-2012,0.0661
31-2021,0.0
31-2022,0.0
31-9011,0.0
31-9091,0.0
31-9092,0.0476
31-9093,0.0
31-9094,0.6365
31-9095,0.022
31-9096,0.0179
31-9097,0.0
31-9099,0.0
33-1011,0.0315
33-1012,0.0
33-1021,0.0
33-2011,0.0
33-2021,0.0
33-2022,0.0
33-3011,0.0
33-3012,0.0
33-3021,0.0374
33-3031,0.0
33-3041,0.0
33-3051,0.1234
33-3052,0.0
33-9011,0.0
33-9021,0.0
33-9031,0.0
33-9032,0.0
33-9091,0.0
33-9092,0.0
33-9093,0.0
33-9099,0.0571
35-1011,0.0
35-1012,0.0564
35-2011,0.0
35-2012,0.0
35-2013,0.0
35-2014,0.0116
35-2015,0.0
35-2021,0.0
35-3011,0.0
35-3023,0.0
35-3031,0.0
35-3041,0.0
35-9011,0.0
35-9021,0.0
35-9031,0.0734
37-1011,0.0436
37-1012,0.1083
37-2011,0.0
37-2012,0.0
37-2021,0.046
37-3011,0.0
37-3012,0.0
37-3013,0.0
39-1013,0.0
39-1014,0.0443
39-1022,0.0407
39-2011,0.0
39-2021,0.0
39-3011,0.0
39-3012,0.0
39-3021,0.0
39-3031,0.0
39-3091,0.0619
39-3092,0.0
39-3093,0.0
39-4011,0.0
39-4021,0.0
39-4031,0.0
39-5011,0.0
39-5012,0.0304
39-5091,0.0
39-5092,0.0
39-5093,0.0
39-5094,0.0
39-6011,0.073
39-6012,0.1875
39-9011,0.0122
39-9031,0.0
39-9032,0.0
39-9041,0.067
41-1011,0.2627
41-1012,0.2295
41-2011,0.0846
41-2012,0.0
41-2021,0.2048
41-2022,0.0
41-2031,0.3222
41-3011,0.1482
41-3021,0.3188
41-3031,0.4413
41-3041,0.4054
41-4011,0.2706
41-4012,0.6279
41-9011,0.0788
41-9012,0.0
41-9021,0.2609
41-9022,0.2828
41-9031,0.3224
41-9041,0.2852
41-9091,0.1758
43-1011,0.1856
43-2011,0.3863
43-2021,0.0
43-3011,0.2989
43-3021,0.1924
43-3031,0.3104
43-3041,0.0653
43-3051,0.0487
43-3061,0.2436
43-3071,0.0231
43-4011,0.1744
43-4021,0.2786
43-4031,0.102
43-4041,0.1296
43-4051,0.7011
43-4061,0.0597
43-4071,0.1568
43-4081,0.1725
43-4111,0.3851
43-4121,0.0978
43-4131,0.2022
43-4141,0.0
43-4151,0.0748
43-4161,0.4046
43-4171,0.4338
43-4181,0.2467
43-5011,0.0165
43-5021,0.0412
43-5031,0.0465
43-5032,0.2258
43-5041,0.0
43-5051,0.0
43-5052,0.0
43-5053,0.0
43-5061,0.0934
43-5071,0.0
43-5111,0.0
43-6011,0.2336
43-6012,0.0
43-6013,0.3623
43-6014,0.4528
43-9021,0.6707
43-9022,0.2385
43-9031,0.464
43-9041,0.1467
43-9051,0.0
43-9061,0.4504
43-9071,0.0239
43-9081,0.1781
43-9111,0.5099
45-1011,0.0
45-2011,0.0
45-2021,0.0
45-2041,0.0
45-2091,0.0
45-2092,0.0203
45-2093,0.0
45-4011,0.0
45-4021,0.0
45-4022,0.0
45-4023,0.0
47-1011,0.0296
47-2011,0.0
47-2021,0.0
47-2022,0.0
47-2031,0.0
47-2041,0.0
47-2042,0.0
47-2043,0.0
47-2044,0.0
47-2051,0.0
47-2053,0.0
47-2061,0.0281
47-2071,0.0
47-2072,0.0
47-2073,0.0
47-2081,0.0
47-2082,0.0
47-2111,0.0
47-2121,0.0
47-2131,0.0
47-2132,0.0439
47-2141,0.0
47-2142,0.0
47-2151,0.0
47-2152,0.0116
47-2161,0.0
47-2171,0.0
47-2181,0.0157
47-2211,0.0
47-2221,0.0491
47-2231,0.0
47-3011,0.0
47-3012,0.0
47-3013,0.0
47-3014,0.0
47-3015,0.0
47-3016,0.0
47-4011,0.0481
47-4021,0.0
47-4031,0.0
47-4041,0.0
47-4051,0.0
47-4061,0.0
47-4071,0.0
47-5011,0.0
47-5012,0.0
47-5013,0.0
47-5022,0.0
47-5023,0.0
47-5032,0.0
47-5041,0.0
47-5043,0.0
47-5044,0.0
47-5051,0.0
47-5071,0.0
47-5081,0.0
49-1011,0.1015
49-2011,0.1067
49-2021,0.0
49-2022,0.0333
49-2091,0.0
49-2092,0.0
49-2093,0.0
49-2094,0.0
49-2095,0.0
49-2096,0.0
49-2097,0.0
49-2098,0.0303
49-3011,0.0
49-3021,0.0
49-3022,0.0
49-3023,0.0
49-3031,0.0
49-3041,0.0
49-3042,0.0
49-3043,0.0
49-3051,0.0
49-3052,0.0
49-3053,0.0
49-3091,0.0
49-3092,0.0
49-3093,0.0
49-9011,0.0
49-9012,0.0
49-9021,0.0191
49-9031,0.0
49-9041,0.0239
49-9043,0.0
49-9044,0.0
49-9045,0.0
49-9051,0.0
49-9052,0.0
49-9061,0.0412
49-9062,0.0
49-9063,0.0
49-9064,0.0
49-9071,0.0
49-9081,0.0
49-9091,0.0
49-9092,0.0
49-9094,0.0
49-9095,0.0
49-9096,0.0
49-9097,0.0
49-9098,0.0
49-9099,0.0
51-1011,0.0
51-2011,0.0494
51-2021,0.0
51-2031,0.0
51-2041,0.0
51-2051,0.0
51-2061,0.0392
51-3011,0.0
51-3021,0.0
51-3022,0.0
51-3023,0.0
51-3091,0.0
51-3092,0.0
51-3093,0.0
51-4021,0.0
51-4022,0.0
51-4023,0.0
51-4031,0.0
51-4032,0.0
51-4033,0.0
51-4034,0.0
